summary_level,year,stem,cbsa_code,cbsa_title,vintage,excluded_tract_count,positive_area_overlap_tract_count,zero_area_overlap_tract_count,total_overlap_area_sq_m,mean_overlap_area_sq_m,mean_overlap_area_sq_km,median_overlap_area_sq_m,max_overlap_area_sq_m,max_overlap_area_sq_km,mean_overlap_pct_of_tract,median_overlap_pct_of_tract,max_overlap_pct_of_tract,mean_positive_overlap_area_sq_m,mean_positive_overlap_area_sq_km,max_overlap_tract_id,max_overlap_state,max_overlap_county,max_overlap_tract_name
year_cbsa,2000,104362_24220_march_2020,24220,"Grand Forks, ND-MN",march_2020,16,16,0,200340.04728237508,12521.252955148442,0.012521252955148441,66.04810543742886,58093.52625888107,0.058093526258881076,0.0009748435941138231,9.531227645969928e-06,0.004845139234331278,12521.252955148442,0.012521252955148443,G3800990958100,North Dakota,990,Census Tract 9581
year_cbsa,2000,105740_27060_march_2020,27060,"Ithaca, NY",march_2020,8,8,0,1787.201542977724,223.4001928722155,0.0002234001928722155,10.554766427905644,1712.1868506008493,0.0017121868506008494,7.681643882635192e-05,4.245481664045315e-06,0.0005871092376755894,223.4001928722155,0.00022340019287221552,G3600970950100,New York,970,Census Tract 9501
year_cbsa,2000,107502_28100_march_2020,28100,"Kankakee, IL",march_2020,13,13,0,147643.64443646936,11357.20341818995,0.011357203418189948,1932.042447097001,62918.97326034028,0.06291897326034028,0.01069235332821389,0.0007897718580468372,0.017312258935133752,11357.20341818995,0.011357203418189951,G1700750950200,Illinois,750,Census Tract 9502
year_cbsa,2000,1087592_24340_march_2020,24340,"Grand Rapids-Kentwood, MI",march_2020,16,16,0,4886.843275586307,305.4277047241442,0.0003054277047241442,13.685865688236065,2638.089375663762,0.002638089375663762,0.0003586998575567944,2.191839088645566e-05,0.001541103488048207,305.4277047241442,0.00030542770472414415,G2601230971000,Michigan,1230,Census Tract 9710
year_cbsa,2000,1090135_40380_march_2020,40380,"Rochester, NY",march_2020,20,20,0,77765.20527073984,3888.260263536992,0.003888260263536994,3.9884347755080984,41242.73789239494,0.041242737892394944,0.0022607329430615495,4.024220109962152e-06,0.023401990234166756,3888.260263536992,0.0038882602635369923,G3600990950700,New York,990,Census Tract 9507
year_cbsa,2000,110730_31020_march_2020,31020,"Longview, WA",march_2020,15,15,0,2142731.2733739335,142848.75155826224,0.14284875155826224,15862.68154277162,930473.2309318897,0.9304732309318897,0.11490549145571126,0.002130851532722921,1.515508051405359,142848.75155826224,0.14284875155826224,G5300110040201,Washington,110,Census Tract 402.01
year_cbsa,2000,111139_30340_march_2020,30340,"Lewiston-Auburn, ME",march_2020,4,4,0,17316.61758569687,4329.154396424217,0.004329154396424218,12.642459330803607,17291.265873624037,0.017291265873624038,0.0029311873181063802,8.391606054523683e-06,0.011707913640854847,4329.154396424217,0.004329154396424217,G2300110014500,Maine,110,Census Tract 145
year_cbsa,2000,1115289_13820_march_2020,13820,"Birmingham-Hoover, AL",march_2020,33,33,0,81747.51978342327,2477.1975691946445,0.0024771975691946437,7.384665226114615,38656.13962935413,0.03865613962935413,0.0016515863703908164,4.88511232175601e-06,0.02181936438297511,2477.1975691946445,0.0024771975691946445,G0100510030100,Alabama,510,Census Tract 301
year_cbsa,2000,111903_34620_march_2020,34620,"Muncie, IN",march_2020,15,15,0,142.65012658947484,9.510008439298323,9.510008439298321e-06,5.854930908360921,40.39997679234109,4.0399976792341094e-05,3.673389263958547e-05,4.985165171133936e-06,2.3006078263482666e-05,9.510008439298323,9.510008439298323e-06,G1800650975600,Indiana,650,Census Tract 9756
year_cbsa,2000,112417_33140_march_2020,33140,"Michigan City-La Porte, IN",march_2020,11,11,0,299.2022049802264,27.200200452747854,2.7200200452747846e-05,4.314434815922116,147.70302768557468,0.00014770302768557468,2.286615806016402e-05,2.7262505364213364e-06,0.00010574251442812047,27.200200452747854,2.7200200452747853e-05,G1801270050102,Indiana,1270,Census Tract 501.02
year_cbsa,2000,113495_15260_march_2020,15260,"Brunswick, GA",march_2020,9,9,0,624337.9198929763,69370.87998810847,0.06937087998810847,26657.025384255376,320808.48151992535,0.32080848151992536,0.010479311000604655,0.007716365511965772,0.04467035160947283,69370.87998810847,0.06937087998810847,G1303050970600,Georgia,3050,Census Tract 9706
year_cbsa,2000,113777_15680_march_2020,15680,"California-Lexington Park, MD",march_2020,2,2,0,41.916418214407734,20.958209107203867,2.0958209107203868e-05,20.958209107203867,40.020382688123696,4.0020382688123696e-05,1.1724021106570588e-05,1.1724021106570588e-05,2.1735547132587108e-05,20.958209107203867,2.0958209107203868e-05,G2400170851300,Maryland,170,Census Tract 8513
year_cbsa,2000,114188_48700_march_2020,48700,"Williamsport, PA",march_2020,8,8,0,925813.6413856321,115726.70517320401,0.11572670517320403,33441.417956023666,534884.8048150467,0.5348848048150467,0.06113314943333527,0.00641984121117703,0.1001155487349872,115726.70517320401,0.115726705173204,G4201170991000,Pennsylvania,1170,Census Tract 9910
year_cbsa,2000,114283_46300_march_2020,46300,"Twin Falls, ID",march_2020,8,8,0,3611704.4617102994,451463.0577137874,0.4514630577137873,358387.4303992726,1405522.8520139677,1.4055228520139678,0.038024383731966024,0.007553368699135328,0.00728573170906683,451463.0577137874,0.4514630577137874,G3200070950600,Nevada,70,Census Tract 9506
year_cbsa,2000,115079_13220_march_2020,13220,"Beckley, WV",march_2020,13,13,0,62861.851528044404,4835.5270406188,0.004835527040618801,87.2442520158825,52358.22017909654,0.05235822017909654,0.0014651027518195595,4.1666188064794786e-05,0.015409267564850355,4835.5270406188,0.0048355270406188,G5400390011800,West Virginia,390,Census Tract 118
year_cbsa,2000,116441_11500_march_2020,11500,"Anniston-Oxford, AL",march_2020,8,8,0,14326.90295415752,1790.86286926969,0.00179086286926969,331.6417800936643,7683.3849092763785,0.007683384909276379,0.0012049341581287995,0.0001335560280867085,0.003595432648361208,1790.86286926969,0.00179086286926969,G0101210010200,Alabama,1210,Census Tract 102
year_cbsa,2000,1166902_15380_march_2020,15380,"Buffalo-Cheektowaga, NY",march_2020,8,8,0,47.74787792480612,5.968484740600765,5.968484740600764e-06,4.377483886517709,19.50567243682599,1.950567243682599e-05,3.931410041234623e-06,3.5545355300540965e-06,9.05714999138194e-06,5.968484740600765,5.968484740600765e-06,G3600370951400,New York,370,Census Tract 9514
year_cbsa,2000,116721_48060_march_2020,48060,"Watertown-Fort Drum, NY",march_2020,6,6,0,409179.2639694067,68196.54399490112,0.06819654399490112,544.1603749960389,317697.00126087654,0.3176970012608765,0.010849596809100982,0.00018871495506871943,0.04833297915322643,68196.54399490112,0.06819654399490112,G3600890992600,New York,890,Census Tract 9926
year_cbsa,2000,116903_48260_march_2020,48260,"Weirton-Steubenville, WV-OH",march_2020,16,16,0,26598.150866006672,1662.384429125417,0.0016623844291254169,32.6958334535926,21787.346456478077,0.021787346456478077,0.002267525938028613,5.289139455582896e-05,0.032983441110102235,1662.384429125417,0.001662384429125417,G5400690002000,West Virginia,690,Census Tract 20
year_cbsa,2000,117333_24140_march_2020,24140,"Goldsboro, NC",march_2020,13,13,0,4221421.643039823,324724.74177229404,0.3247247417722941,357258.4436163262,764094.5549770468,0.7640945549770468,0.24349801283927724,0.1471108746291758,0.24931170007572231,324724.74177229404,0.32472474177229405,G3701010041300,North Carolina,1010,Census Tract 413
year_cbsa,2000,117922_33540_march_2020,33540,"Missoula, MT",march_2020,16,16,0,2373192.1884742817,148324.5117796426,0.1483245117796426,94141.55193241054,392244.1595711541,0.3922441595711541,0.02063584704993191,0.008227946467335143,0.025754934196843028,148324.5117796426,0.1483245117796426,G3000610994500,Montana,610,Census Tract 9945
year_cbsa,2000,118034_43100_march_2020,43100,"Sheboygan, WI",march_2020,5,5,0,32893.47626611263,6578.695253222526,0.006578695253222526,45.96260235512909,32465.821425528542,0.03246582142552854,0.003404994970412489,2.4376967758018726e-05,0.016896470822639564,6578.695253222526,0.006578695253222526,G5500890610100,Wisconsin,890,Census Tract 6101
year_cbsa,2000,118785_29940_march_2020,29940,"Lawrence, KS",march_2020,6,6,0,23277.741388419276,3879.623564736546,0.0038796235647365466,1563.9809705211399,17557.636272616946,0.017557636272616948,0.001925393896042407,0.000377079366470304,0.007849784834808493,3879.623564736546,0.003879623564736546,G2001030071400,Kansas,1030,Census Tract 714
year_cbsa,2000,1213531_25540_march_2020,25540,"Hartford-East Hartford-Middletown, CT",march_2020,30,30,0,821292.3615212326,27376.412050707753,0.027376412050707753,714.2366283781316,216748.12157566915,0.21674812157566914,0.08278198461431391,0.001996497548763719,0.26448577201697526,27376.412050707753,0.027376412050707753,G2500130813100,Massachusetts,130,Census Tract 8131
year_cbsa,2000,121467_41140_march_2020,41140,"St. Joseph, MO-KS",march_2020,18,18,0,4428374.471295253,246020.8039608474,0.24602080396084747,10.789866454651348,2901558.4415884446,2.9015584415884446,0.22516016185203247,2.5827802976070275e-06,3.632653193540352,246020.8039608474,0.2460208039608474,G2000050981700,Kansas,50,Census Tract 9817
year_cbsa,2000,121559_36980_march_2020,36980,"Owensboro, KY",march_2020,13,13,0,245034.14574956076,18848.780442273906,0.018848780442273904,6403.363898721751,94340.18988977316,0.09434018988977316,0.020584711525889074,0.006033173474131801,0.03200820973843255,18848.780442273906,0.018848780442273907,G1801470952800,Indiana,1470,Census Tract 9528
year_cbsa,2000,121661_22140_march_2020,22140,"Farmington, NM",march_2020,15,15,0,2786685.2464629067,185779.01643086044,0.1857790164308605,113773.7979217135,629527.1012780847,0.6295271012780846,0.07527707133170597,0.007150202096394795,0.05327412039266647,185779.01643086044,0.18577901643086045,G0800670940200,Colorado,670,Census Tract 9402
