year,stem,cbsa_code,cbsa_title,vintage,tract_id_column,tract_id,source_path,definition_path,state,county,tract_name,total_population,tract_area_sq_m,tract_area_sq_km,cbsa_overlap_area_sq_m,cbsa_overlap_area_sq_km,cbsa_overlap_pct_of_tract,positive_area_overlap,representative_point_within_cbsa,geometry_type,is_valid,validity_reason,rep_within_own_geometry,rep_covered_by_own_geometry,centroid_within_cbsa,centroid_distance_to_cbsa_m,largest_component_rep_within_cbsa,largest_component_rep_covered_by_cbsa,largest_component_rep_distance_to_cbsa_m,rep_distance_to_cbsa_m,rep_distance_to_cbsa_boundary_m,tract_nonoverlap_area_sq_km,tract_nonoverlap_pct,overlap_geometry_type,nonoverlap_geometry_type,component_count,largest_component_index,largest_component_area_pct,rep_component_index,rep_component_rank_by_area,rep_component_area_pct,rep_on_largest_component,diagnostic_bucket
1990,330758_14500_march_2020,14500,"Boulder, CO",march_2020,GISJOIN,G0800130013102,old_cbsas/1990/330758_14500_march_2020_cbsa_tracts.shp,cbsas/defs/330758_14500_march_2020.shp,08,Boulder County,Tract 131.02,2960,30871655.995288976,30.871655995288975,17405899.424101893,17.405899424101893,56.38148930772629,True,False,Polygon,True,Valid Geometry,True,True,False,408.1995379166825,False,False,398.73530598767195,398.73530598767195,398.73530598767195,13.465756571187075,43.618510692273695,Polygon,MultiPolygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1980,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002900224,old_cbsas/1980/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,New Jersey,Ocean County,State: 34 County: 029 Tract: 224,7228,10291145.411047362,10.291145411047362,5796603.351414778,5.796603351414778,56.32612425427618,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,6.344212823761066,6.344212823761066,6.344212823761066,4.494542059632591,43.67387574572389,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1990,20140470_35620_march_2020,35620,"New York-Newark-Jersey City, NY-NJ-PA",march_2020,GISJOIN,G34002907224,old_cbsas/1990/20140470_35620_march_2020_cbsa_tracts.shp,cbsas/defs/20140470_35620_march_2020.shp,34,Ocean County,Tract 7224,9175,10291145.411047362,10.291145411047362,5796603.351414778,5.796603351414778,56.32612425427618,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,6.344212823761066,6.344212823761066,6.344212823761066,4.494542059632591,43.67387574572389,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1980,203881_49740_march_2020,49740,"Yuma, AZ",march_2020,GISJOIN,G04002700107,old_cbsas/1980/203881_49740_march_2020_cbsa_tracts.shp,cbsas/defs/203881_49740_march_2020.shp,Arizona,Yuma County,State: 04 County: 027 Tract: 107,1021,3498399043.917827,3498.399043917827,1912416746.3916955,1912.416746391696,54.66548333634338,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,9386.902756076637,9386.902756076637,9386.902756076637,1585.9822975261343,45.33451666365671,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1970,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42004504060,old_cbsas/1970/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,Pennsylvania,Delaware County,Tract 4060,702,1494264.6873932343,1.4942646873932344,807795.5048220438,0.8077955048220438,54.05973330141759,True,False,Polygon,True,Valid Geometry,True,True,False,28.005725135966557,False,False,19.44952277267947,19.44952277267947,19.44952277267947,0.6864691825711899,45.94026669858237,Polygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1980,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42004504060,old_cbsas/1980/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,Pennsylvania,Delaware County,State: 42 County: 045 Tract: 4060,344,1494264.6873932343,1.4942646873932344,807795.5048220438,0.8077955048220438,54.05973330141759,True,False,Polygon,True,Valid Geometry,True,True,False,28.005725135966557,False,False,19.44952277267947,19.44952277267947,19.44952277267947,0.6864691825711899,45.94026669858237,Polygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1990,6245051_37980_march_2020,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",march_2020,GISJOIN,G42004504060,old_cbsas/1990/6245051_37980_march_2020_cbsa_tracts.shp,cbsas/defs/6245051_37980_march_2020.shp,42,Delaware County,Tract 4060,269,1494264.6873932343,1.4942646873932344,807795.5048220438,0.8077955048220438,54.05973330141759,True,False,Polygon,True,Valid Geometry,True,True,False,28.005725135966557,False,False,19.44952277267947,19.44952277267947,19.44952277267947,0.6864691825711899,45.94026669858237,Polygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1990,2660329_16740_march_2020,16740,"Charlotte-Concord-Gastonia, NC-SC",march_2020,GISJOIN,G3700710033598,old_cbsas/1990/2660329_16740_march_2020_cbsa_tracts.shp,cbsas/defs/2660329_16740_march_2020.shp,37,Gaston County,Tract 335.98,111,344863.2502628324,0.3448632502628324,179775.6869341151,0.1797756869341151,52.12955767165731,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,0.3594255740781187,0.3594255740781187,0.3594255740781187,0.16508756332870356,47.870442328338704,Polygon,MultiPolygon,1,0,100.00000000000001,0,1,100.00000000000001,True,split_tract_ambiguous_35_to_65_pct
2000,2963821_19740_march_2020,19740,"Denver-Aurora-Lakewood, CO",march_2020,GISJOIN,G0800130013107,old_cbsas/2000/2963821_19740_march_2020_cbsa_tracts.shp,cbsas/defs/2963821_19740_march_2020.shp,Colorado,130,Census Tract 131.07,3533,19829937.903637823,19.829937903637823,10227254.895943228,10.227254895943227,51.57482058512664,True,False,Polygon,True,Valid Geometry,True,True,False,264.40177496525195,False,False,94.72656177196244,94.72656177196244,94.72656177196244,9.602683007694624,48.42517941487352,MultiPolygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
1990,270861_42100_march_2020,42100,"Santa Cruz-Watsonville, CA",march_2020,GISJOIN,G0600850513198,old_cbsas/1990/270861_42100_march_2020_cbsa_tracts.shp,cbsas/defs/270861_42100_march_2020.shp,06,Santa Clara County,Tract 5131.98,0,8790.198122075875,0.0087901981220758,4373.371137217039,0.004373371137217,49.752816449423015,True,False,Polygon,True,Valid Geometry,True,True,True,0.0,False,False,2.520655670243858,2.520655670243858,2.520655670243858,0.004416826984855289,50.24718355053663,Polygon,Polygon,1,0,100.0,0,1,100.0,True,split_tract_ambiguous_35_to_65_pct
